timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gravity_x,gravity_y,gravity_z,gps_lat,gps_lon,gps_alt,gps_speed_mps,gps_accuracy_m,gps_heading_deg,gps_satellites
1.001,-3.1513,-5.104,10.9235,-0.0465,-0.0465,-0.5959,-20.06,-43.12,30.81,-0.0368,-0.0983,9.806,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.1,3.4935,5.4789,8.1041,-0.1401,-0.1401,-0.0747,-19.81,-44.0,30.94,0.0626,0.0166,9.8063,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.2,-1.191,1.0914,10.3851,-0.1337,-0.1337,-0.223,-19.94,-43.12,31.06,-0.0318,-0.0675,9.8063,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.3,-2.3564,-2.2971,10.8067,-0.1413,-0.1413,-0.3244,-19.75,-43.69,31.31,-0.0198,-0.0244,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.4,-1.8511,-2.2558,10.6703,-0.1216,-0.1216,-0.0411,-20.06,-44.19,30.81,0.0047,-0.0611,9.8064,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.5,-0.0605,-1.2188,9.9382,0.17,0.17,0.081,-19.87,-43.75,31.06,0.0026,0.014,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.601,-3.2297,-3.0246,11.1728,0.2054,0.2054,0.2344,-19.44,-43.81,32.0,0.0148,0.0317,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.7,-0.9119,0.0535,9.6111,0.0352,0.0352,-0.0729,-19.62,-43.5,32.0,-0.0226,-0.0142,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.801,0.8616,2.4787,9.1966,-0.0158,-0.0158,0.1685,-19.87,-43.75,31.81,0.0112,0.0471,9.8064,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
1.901,-0.6027,-0.8596,10.3671,0.0007,0.0007,0.1645,-20.44,-43.87,31.56,0.0046,0.023,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.0,1.7393,1.7406,9.1829,-0.0426,-0.0426,-0.1356,-20.37,-43.81,32.13,-0.0022,-0.0026,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.1,0.875,-0.8211,10.8317,0.092,0.092,-0.0349,-20.0,-43.44,31.94,-0.0114,0.0114,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.2,-2.3093,-1.0922,9.7106,0.0141,0.0141,-0.2818,-20.69,-43.94,32.13,-0.0466,-0.0203,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.3,2.7554,1.8259,9.2847,-0.0677,-0.0677,0.0121,-20.5,-44.0,32.06,-0.0006,-0.0118,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.401,0.4084,0.6292,9.4759,-0.0525,-0.0525,-0.1329,-20.37,-43.56,32.0,-0.0326,-0.0295,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.501,0.6586,0.5212,10.1153,0.0127,0.0127,-0.1046,-20.69,-43.56,31.38,-0.0174,0.0056,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.6,-1.6838,-0.2979,9.5707,0.0869,0.0869,-0.2025,-20.69,-43.81,31.13,-0.0206,-0.0074,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.701,0.6526,1.0061,8.9919,-0.1047,-0.1047,-0.0181,-20.62,-44.31,31.5,0.0237,-0.0205,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.801,1.7684,-0.7348,10.9245,-0.0286,-0.0286,0.0484,-19.94,-43.62,31.63,0.002,-0.0284,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
2.901,0.7637,1.0723,9.8211,-0.0201,-0.0201,0.1348,-20.31,-44.0,31.81,0.0006,0.0017,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.001,1.2617,0.26,9.7113,-0.0553,-0.0553,0.1788,-20.12,-43.19,31.69,0.0182,0.0207,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.101,-2.9291,-0.265,9.38,-0.0838,-0.0838,0.1235,-20.56,-43.56,31.63,0.0138,0.0064,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.2,2.096,1.2386,10.6489,-0.0254,-0.0254,0.1757,-20.19,-43.94,31.44,0.0408,0.0116,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.301,1.2402,0.5344,10.8802,0.1434,0.1434,-0.0662,-20.44,-44.06,31.75,-0.018,-0.006,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.4,1.2875,1.5665,8.5615,0.06,0.06,0.0345,-19.81,-43.56,31.19,-0.0125,0.0302,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.5,1.315,0.1579,10.2329,-0.0592,-0.0592,-0.0925,-20.25,-43.94,31.25,-0.0186,0.0099,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.601,0.3289,0.7367,9.7115,0.0692,0.0692,-0.0889,-20.37,-44.0,30.69,-0.007,-0.0048,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.701,2.5451,1.3852,9.6601,-0.0529,-0.0529,-0.0767,-20.44,-43.62,30.38,-0.0049,-0.0161,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.8,-0.4874,0.8094,9.8619,0.0345,0.0345,-0.1071,-19.87,-43.44,31.38,0.0035,-0.008,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,25
3.9,2.0735,2.2625,9.2625,-0.001,-0.001,0.1432,-19.69,-43.69,31.25,0.0507,-0.0016,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.0,3.0929,1.7841,9.1594,-0.1404,-0.1404,0.0102,-19.5,-43.06,30.88,0.0079,0.0215,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.1,0.5463,1.1355,9.2654,-0.0125,-0.0125,0.1613,-19.31,-43.62,30.56,0.0021,0.0456,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.2,2.019,1.3987,9.4617,-0.0644,-0.0644,0.0236,-19.87,-44.0,30.19,0.0148,-0.0199,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.3,3.3547,1.5572,10.6315,0.1075,0.1075,-0.1148,-18.94,-43.87,30.69,-0.0145,0.0105,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.401,1.9904,1.864,8.9214,0.1259,0.1259,0.1036,-18.62,-43.56,30.38,-0.0142,0.0169,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.501,1.2524,2.2761,9.2478,-0.062,-0.062,-0.1277,-18.87,-43.62,30.56,-0.0274,-0.0058,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.6,2.8912,1.4477,10.0635,-0.0601,-0.0601,-0.1514,-18.75,-44.19,29.94,-0.0255,0.0048,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.701,0.8974,1.5603,8.8849,-0.1469,-0.1469,0.1395,-18.12,-43.69,29.94,0.0243,0.0152,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.801,2.5344,1.9671,9.4092,-0.0261,-0.0261,0.2003,-18.12,-43.19,29.25,0.0262,0.0204,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
4.9,0.3392,0.5614,11.0199,0.12,0.12,0.0062,-18.12,-44.12,29.63,-0.0322,0.0023,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.001,1.4095,1.4129,10.5116,-0.0313,-0.0313,0.005,-18.56,-43.5,29.44,-0.0036,-0.0165,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.101,2.4757,1.8262,9.2206,-0.0371,-0.0371,-0.1178,-18.0,-43.0,29.94,-0.0113,-0.0048,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.201,1.7751,1.0851,10.3463,-0.0413,-0.0413,-0.1219,-18.37,-43.19,29.31,-0.0071,0.0022,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.3,0.6404,1.3713,9.9315,0.0184,0.0184,0.05,-17.56,-43.5,29.13,0.0169,0.0207,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.4,2.6493,0.1599,10.2644,0.014,0.014,-0.0213,-17.5,-43.19,29.5,-0.0059,0.0101,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.501,1.3182,3.5344,8.8643,0.0301,0.0301,0.0277,-17.06,-43.25,29.75,-0.0122,0.0027,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.6,2.4043,1.1702,9.8428,-0.0061,-0.0061,0.1328,-16.94,-43.12,29.25,-0.0181,-0.0108,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.7,3.5754,2.0415,9.9382,0.0642,0.0642,0.0668,-17.19,-43.69,29.0,-0.0242,-0.0046,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.801,1.1896,1.1582,9.4397,-0.021,-0.021,0.0556,-17.12,-43.56,28.94,-0.0077,-0.0024,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
5.901,2.0454,2.098,9.8624,-0.0734,-0.0734,-0.1219,-16.81,-43.31,28.44,-0.0251,-0.0069,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.001,3.0293,2.7353,9.9236,0.0074,0.0074,-0.0172,-16.37,-43.69,28.81,0.0073,0.0266,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.101,3.455,2.2794,10.0582,0.0012,0.0012,-0.2336,-16.44,-43.0,28.0,-0.0035,0.0187,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.2,3.677,1.0443,9.9192,-0.007,-0.007,-0.0467,-15.69,-44.06,28.19,0.0202,0.0323,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.3,1.5205,1.8343,9.6002,0.031,0.031,-0.0518,-15.69,-44.5,27.56,0.0043,0.0108,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.401,2.9484,2.0097,8.9606,-0.1503,-0.1503,-0.1541,-15.81,-44.0,28.44,-0.002,0.0375,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.501,2.9541,1.0408,9.6458,-0.0111,-0.0111,-0.0325,-15.12,-43.56,27.63,0.0134,0.0282,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.6,2.9496,1.9368,9.5816,0.0825,0.0825,-0.0792,-14.5,-44.31,27.81,0.0078,-0.0082,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.7,3.762,0.6331,9.9816,0.0513,0.0513,-0.063,-14.56,-44.56,27.38,0.0074,0.0134,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.801,2.6802,1.1697,9.9236,-0.0176,-0.0176,0.0585,-13.69,-43.69,27.88,0.0111,0.0046,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,24
6.901,1.766,1.1492,9.9703,0.04,0.04,-0.0647,-13.12,-44.12,27.81,-0.0146,-0.014,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.0,2.5302,-0.206,9.8702,-0.0085,-0.0085,-0.0256,-12.69,-44.5,28.19,0.0102,0.0061,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.1,2.0651,0.7435,10.1987,-0.0316,-0.0316,-0.1837,-13.12,-44.69,28.25,0.0106,-0.0021,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.201,3.5516,0.9519,9.5417,-0.0197,-0.0197,-0.0329,-12.31,-43.87,27.88,0.0161,0.0088,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.301,2.7717,-0.2121,9.3516,-0.0676,-0.0676,-0.1184,-12.25,-44.19,27.88,-0.0022,0.0166,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.4,1.3153,1.9239,9.1835,0.0286,0.0286,-0.1526,-12.19,-44.0,27.69,0.0123,0.0068,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.5,-1.6845,-1.6043,10.6696,0.0053,0.0053,-0.0674,-11.62,-44.12,27.13,0.0631,0.0411,9.8063,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.601,1.4888,0.5104,9.9551,0.0349,0.0349,-0.1502,-11.69,-44.0,27.69,0.0106,-0.0001,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.701,-1.8955,-1.3957,11.7266,0.2207,0.2207,0.2994,-11.81,-43.94,27.56,0.0186,-0.0181,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.801,3.6015,-0.3252,9.6258,-0.0121,-0.0121,-0.114,-12.0,-44.37,27.81,-0.0205,-0.042,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
7.901,3.0427,-0.3355,11.2634,0.0258,0.0258,0.3323,-11.44,-43.81,27.94,-0.0037,-0.0101,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.001,-4.246,-1.6082,10.2927,0.0962,0.0962,0.3542,-11.81,-44.12,28.0,-0.0757,-0.0484,9.8062,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.1,2.0208,-0.8501,11.4685,-0.0152,-0.0152,0.1943,-11.19,-43.5,27.88,-0.0185,-0.0778,9.8062,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.2,-0.7288,-3.7982,9.9946,0.1824,0.1824,0.2332,-11.12,-43.19,28.38,-0.0192,-0.0277,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.3,-2.7729,0.7201,8.5294,0.1158,0.1158,-0.367,-11.19,-42.25,28.31,-0.0332,-0.0177,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.4,5.1403,0.5639,9.4769,-0.0523,-0.0523,-0.1418,-12.75,-41.12,27.38,0.0662,0.0359,9.8063,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.501,-0.9596,-3.2097,12.2743,0.046,0.046,-0.0793,-11.75,-40.81,28.38,0.0516,0.0156,9.8064,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.6,5.3495,0.321,9.9861,-0.0483,-0.0483,-0.2327,-10.94,-40.69,28.38,0.0212,0.0013,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.701,1.1569,-0.4429,9.5644,0.0135,0.0135,0.1038,-10.44,-39.56,28.38,0.0416,0.0368,9.8065,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.801,-0.9177,-0.0767,9.9131,0.0401,0.0401,0.0212,-12.06,-39.5,29.0,-0.0182,-0.0171,9.8066,52.5595,-1.482788,138.52,3.589,4.0,29.26,23
8.9,3.1992,1.0645,8.974,0.0552,0.0552,0.1193,-11.19,-41.0,28.06,0.0043,0.0044,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.001,3.6566,0.641,10.3074,-0.0466,-0.0466,-0.0059,-10.0,-42.56,27.81,-0.018,-0.0207,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.1,4.0077,0.767,9.7695,0.1064,0.1064,0.1742,-9.06,-43.69,28.19,0.0078,-0.0122,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.2,-0.9092,-1.8445,10.3798,0.076,0.076,0.2449,-8.25,-44.31,28.19,-0.0393,-0.027,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.3,3.7796,0.9131,8.7999,-0.0273,-0.0273,0.0507,-8.62,-44.75,28.31,-0.0323,-0.0027,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.4,-0.069,0.1115,9.3537,-0.022,-0.022,0.1331,-7.56,-44.69,28.0,-0.0133,0.0158,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.5,3.6157,-0.2547,8.9184,-0.0444,-0.0444,0.0376,-7.37,-44.37,28.5,-0.0133,-0.0274,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.601,2.7314,1.1135,9.2466,0.023,0.023,0.0709,-7.62,-44.56,28.13,0.0,0.0044,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.701,3.45,-0.3208,8.7906,-0.082,-0.082,-0.0674,-7.31,-44.56,27.63,-0.0042,-0.0178,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.8,2.4599,0.0842,9.7816,0.0156,0.0156,-0.036,-7.37,-44.87,28.69,0.0086,0.0068,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
9.901,-0.5469,-0.5141,10.2519,-0.0278,-0.0278,-0.1352,-7.37,-44.37,29.0,0.0165,0.0223,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.001,1.6845,0.0968,9.8586,0.0082,0.0082,-0.1705,-7.31,-44.56,28.5,0.0399,-0.0144,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.101,-2.0838,-1.4129,10.1641,0.0749,0.0749,-0.0678,-7.12,-44.56,28.31,0.0313,0.0116,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.201,2.1842,0.442,10.0743,-0.0361,-0.0361,-0.2234,-7.0,-44.56,28.63,0.0157,0.0158,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.301,-0.0864,-0.1171,9.6579,-0.0067,-0.0067,0.0741,-6.75,-44.81,28.56,0.0417,0.0211,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.4,-1.4094,-0.3106,10.2789,0.0057,0.0057,-0.1368,-7.25,-44.5,28.19,-0.0021,0.0087,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.501,-2.0605,-0.5581,10.2565,0.0,0.0,0.1606,-7.31,-45.0,28.25,0.0317,0.018,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.601,0.0438,-0.7388,10.1189,0.0161,0.0161,-0.0379,-6.81,-44.81,28.31,-0.0102,-0.0107,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.701,4.8153,0.2473,9.59,0.0054,0.0054,0.1942,-6.87,-44.62,28.38,0.011,-0.0137,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.801,0.6648,0.0988,10.9531,0.0682,0.0682,0.1534,-6.0,-44.81,28.56,-0.0278,-0.016,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,25
10.901,4.222,-0.4831,10.7013,0.0485,0.0485,0.0287,-6.06,-44.81,28.94,-0.0158,-0.0155,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.001,-0.5322,-1.12,10.1258,-0.0533,-0.0533,0.2371,-6.12,-44.69,28.88,-0.0127,-0.006,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.1,-0.961,0.0924,10.3505,-0.0203,-0.0203,-0.2127,-5.31,-44.62,28.69,-0.0394,-0.0088,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.2,-3.2977,0.5794,9.5629,-0.0608,-0.0608,-0.0212,-5.5,-44.94,28.94,0.0477,0.02,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.3,-1.537,-0.7911,9.9907,-0.1299,-0.1299,-0.3306,-5.06,-45.12,28.88,0.0067,0.0339,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.4,3.5816,0.7156,8.6425,-0.1095,-0.1095,-0.2275,-5.19,-45.12,28.31,0.0475,0.0434,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.5,-2.5458,-0.2016,10.079,0.0148,0.0148,-0.0541,-5.37,-44.12,27.88,0.0516,0.02,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.601,4.0185,0.9909,9.6017,0.0441,0.0441,-0.2844,-5.19,-45.06,28.56,0.0202,-0.0145,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.701,-2.9441,0.715,9.081,0.1417,0.1417,-0.0197,-5.44,-44.31,28.81,0.0621,-0.0024,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.8,-1.0087,0.5739,10.7209,0.0962,0.0962,-0.1182,-5.25,-44.12,29.19,0.0312,-0.0233,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
11.9,-1.7401,1.0926,9.6325,0.0707,0.0707,-0.0563,-5.0,-44.31,28.56,-0.0114,-0.0255,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.0,-1.2792,-0.1909,10.7392,0.0551,0.0551,0.0611,-4.75,-44.81,28.81,0.0099,-0.014,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.1,-1.842,-0.5241,9.4763,0.0207,0.0207,-0.0217,-4.87,-44.37,28.63,0.0074,-0.0001,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.2,-1.0555,0.4363,9.6775,-0.0189,-0.0189,-0.0522,-4.81,-44.62,29.0,0.0349,0.0152,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.301,-2.6463,-1.1042,9.6975,-0.0235,-0.0235,-0.1135,-4.31,-44.94,28.06,-0.0017,0.0054,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.4,-1.4668,-1.0035,9.782,0.0016,0.0016,-0.129,-4.94,-44.19,28.0,0.0365,0.0186,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.5,-3.049,0.6867,9.8635,-0.0455,-0.0455,-0.1505,-4.81,-44.25,27.63,0.0385,0.0026,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.6,-0.085,0.834,9.4512,-0.001,-0.001,-0.1173,-4.12,-44.25,28.5,0.0367,0.0085,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.7,-2.3742,0.3485,10.2907,-0.0466,-0.0466,-0.0666,-4.31,-44.37,28.56,0.0031,-0.0098,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.801,-0.7355,0.4004,9.4741,-0.0216,-0.0216,0.0313,-4.5,-44.94,28.94,-0.0015,0.0059,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
12.901,-1.1726,-0.7178,9.5423,-0.0538,-0.0538,-0.0979,-4.69,-44.94,29.19,0.0168,-0.0021,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.001,-1.9931,-0.6919,10.0449,-0.0166,-0.0166,-0.0589,-5.19,-44.19,28.56,0.0284,0.0202,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.101,-2.3145,0.0837,9.578,-0.0224,-0.0224,-0.133,-4.19,-45.06,28.69,0.0354,0.0085,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.2,1.1618,0.4546,10.0599,-0.002,-0.002,0.1348,-4.37,-44.62,28.5,0.0657,0.0174,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.3,-0.7434,0.452,10.2802,0.0664,0.0664,0.1166,-4.62,-44.87,28.25,0.0317,0.0108,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.401,0.7832,1.9592,9.7297,0.0744,0.0744,0.1189,-4.25,-44.31,28.06,0.0433,0.0213,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.5,-3.5753,-1.1671,10.6644,0.066,0.066,0.1778,-4.75,-44.0,27.94,0.0288,0.0194,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.6,-3.7837,-0.6625,9.6135,0.1116,0.1116,-0.0763,-4.94,-44.12,28.13,0.0016,0.0089,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.7,-5.8449,-2.1039,9.9823,0.1025,0.1025,0.2991,-4.44,-43.69,28.56,0.0542,0.0204,9.8064,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.8,-3.8661,-1.6296,10.0595,-0.0425,-0.0425,-0.2328,-4.69,-44.75,28.31,-0.007,-0.0181,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,24
13.9,0.748,1.1043,9.6725,-0.0719,-0.0719,0.0625,-4.87,-44.75,28.5,0.0489,-0.0066,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
14.0,-2.9087,-0.6458,9.9887,-0.0925,-0.0925,-0.1428,-4.94,-44.69,27.69,-0.0006,-0.0231,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
14.1,-0.1288,-0.414,9.5968,0.0039,0.0039,-0.0983,-5.37,-44.62,27.81,0.0174,-0.0074,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
14.2,-2.184,-0.3791,10.4076,-0.0596,-0.0596,-0.0167,-5.56,-44.69,28.31,0.003,-0.0306,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
14.301,-1.0071,-0.6262,10.1107,-0.0077,-0.0077,-0.0022,-5.12,-44.12,28.38,0.0063,-0.0066,9.8066,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
14.4,-1.8047,-0.7657,9.6741,0.0063,0.0063,0.2499,-5.62,-44.06,28.56,0.03,0.0187,9.8065,52.560585,-1.482209,138.01,4.669,6.0,350.26,23
